cliente_id,monto,fecha,tipo_operacion,sector_actividad,fraccion,EsEfectivo,EsInternacional,SectorAltoRiesgo,fin_de_semana,es_nocturno,es_monto_redondo,frecuencia_mensual,mes,dia_semana,quincena,monto_6m,ops_6m,monto_max_6m,monto_std_6m,ops_relativas,diversidad_operaciones,concentracion_temporal,ratio_vs_promedio,posible_burst,clasificacion_lfpiorpi,anomaly_score_iso,is_outlier_iso,cluster_kmeans,dist_to_cluster_center,is_dbscan_noise,cluster_dbscan,anomaly_score_pca,anomaly_score_composite
CLT58200,1752.25,2025-07-12,efectivo,automotriz,VIII_vehiculos,1,0,0,1,1,0,21,7,5,0,661515.29,14.0,136444.12,39673.03754439904,0.00014,1.1424720168028526,17.05440211731116,0.0249640440019273,1,inusual,-0.0402874323050727,1,3,8.2442803745355,1,-1,14.782914245000581,0.6981171367442328
CLT35633,30759.17,2025-07-03,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,0,1,0,20,7,3,0,810582.98,13.0,125442.93,38529.04387622437,0.0001333333333333,1.3195454632493369,17.249290179480038,0.4737878757014157,1,inusual,-0.03674570592023263,1,3,7.826223974313848,1,-1,14.498962256759146,0.67926470963548
CLT38255,53362.47,2025-07-13,transferencia_internacional,automotriz,VIII_vehiculos,0,1,0,1,1,0,17,7,6,1,369788.07,9.0,128014.03,38805.586712493474,0.0001133333333333,1.3664254949488692,19.90215649956892,1.04750851058383,1,inusual,-0.055800609721421424,1,3,6.5713718183514285,1,-1,13.797272420985959,0.6584362599447786
CLT84852,140454.53,2025-09-16,efectivo,automotriz,VIII_vehiculos,1,0,0,0,1,0,19,9,1,1,671071.25,8.0,140454.53,50411.13252104253,0.0001266666666666,1.188260652709807,18.44272178741805,1.7665493669734087,1,inusual,-0.045880867249291746,1,3,6.185399508294685,1,-1,13.685134529257262,0.6362882946681151
CLT77552,19102.51,2025-06-14,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,1,1,0,22,6,5,1,659431.21,15.0,115224.74,36958.10706389957,0.0001466666666666,1.2231931462406396,14.527969739846816,0.4052984507424078,0,inusual,-0.037787753596812634,1,5,8.807011046231867,1,-1,9.774869176673583,0.619536664406988
CLT65797,862481.53,2024-11-16,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,1,1,0,18,11,5,1,862481.53,1.0,862481.53,0.0,0.00012,1.3801087571572686,14.476146708617309,7.85337539864954,0,inusual,-0.07128106097394338,1,5,8.505524868656405,1,-1,8.011021870985038,0.6183849322904864
CLT25765,131598.2,2024-11-21,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,23,11,3,0,189911.53000000003,2.0,131598.2,51820.22853537458,0.0001533333333333,1.2787747120088118,12.99958374291952,0.8085890341901809,1,inusual,0.005355271476634504,0,3,7.123865772095301,1,-1,13.413389879933272,0.5964848597258329
CLT77552,1265.75,2025-06-16,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,22,6,0,1,657633.1,15.0,115224.74,37102.86871900217,0.0001466666666666,1.2231931462406396,14.527969739846816,0.026855450620217,0,inusual,-0.021326596668277298,1,5,8.281833099578977,1,-1,9.605418800323084,0.5857980950024618
CLT42587,9667.69,2024-11-13,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,0,1,0,17,11,2,1,20066.08,2.0,10398.39,516.6829250130102,0.0001133333333333,1.0710178890244566,21.720094382852025,0.0510672874287615,1,inusual,-0.017068511310267653,1,3,5.9720669714562735,1,-1,12.881864389047273,0.5848662674098918
CLT58200,350342.19,2024-12-15,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,1,1,0,21,12,6,1,473041.3,3.0,350342.19,167855.60959257523,0.00014,1.1424720168028526,17.05440211731116,4.991272847419935,0,inusual,-0.061259093270651155,1,5,7.643765024062655,1,-1,7.7020868873274635,0.5814062879403747
CLT45532,82674.93,2025-06-16,transferencia_internacional,automotriz,VIII_vehiculos,0,1,0,0,1,0,12,6,0,1,495466.7400000001,8.0,167120.2,57195.06482962064,8e-05,1.236684869140504,21.75525015004215,1.5053716138384872,1,inusual,-0.02663384027131621,1,3,5.11321121877552,1,-1,12.938867249817603,0.5762912042724766
CLT52323,161484.2,2025-03-19,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,17,3,2,0,858841.46,8.0,161484.2,56833.96433869295,0.0001133333333333,1.0375911080918452,16.75696372656256,0.5972332686862329,1,inusual,-0.011147365639765927,1,3,5.055192392223562,1,-1,13.151492395922523,0.5614470672038263
CLT23090,82975.28,2025-07-13,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,1,1,0,20,7,6,1,347598.3,12.0,106645.83,35244.06505081865,0.0001333333333333,1.2487805433564858,15.425353171575562,0.5080956976447737,0,inusual,-0.033014589514610004,1,5,7.432962012566173,1,-1,8.584123472455635,0.5606477013210545
CLT42587,2521.98,2024-11-13,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,17,11,2,1,22588.06,3.0,10398.39,4351.875618286136,0.0001133333333333,1.0710178890244566,21.720094382852025,0.0133217632701905,1,inusual,-0.008759800481510593,1,3,5.320905110405057,1,-1,12.830508641791967,0.5593425056965369
CLT63026,39534.89,2025-02-11,efectivo,automotriz,VIII_vehiculos,1,0,0,0,1,0,15,2,1,0,540078.4199999999,9.0,135547.77,40319.931511675466,0.0001,1.3792922544726758,21.062570311618384,0.5047324979258482,1,inusual,-0.00842914021707919,1,3,4.970220537057634,1,-1,13.159937118248903,0.5565648896162733
CLT29216,99654.1,2025-04-15,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,0,1,0,17,4,1,1,418515.82,7.0,130482.32,47573.54045790295,0.0001133333333333,1.14991713779093,16.693187233119982,2.1680364728574744,1,inusual,-0.0007192215876653529,1,3,5.22363215826093,1,-1,13.252878868110203,0.5556004146486972
CLT82478,3884.03,2025-01-26,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,1,1,0,14,1,6,0,13157.0,3.0,5344.59,830.7479762438986,9.333333333333332e-05,1.351783994289646,18.705888281775245,0.1123083818611633,1,inusual,-0.005067660132850427,1,3,5.279821938279211,1,-1,12.81046505204702,0.553903106569306
CLT27841,9784.69,2024-11-25,efectivo,traslado_valores,X_traslado_valores,1,0,1,0,1,0,3,11,0,0,175700.05,2.0,165915.36,110401.05550819905,2e-05,1.0986122886681096,190.91883092036784,0.1010817797651109,1,inusual,0.01801062659789987,0,3,6.144585875703014,1,-1,13.10837854144112,0.553870833191978
CLT56777,2024.74,2025-05-02,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,0,1,0,16,5,4,0,719379.14,11.0,152104.71,59195.28277565844,0.0001066666666666,0.9743147528693494,13.5986694026956,0.0253491580905673,1,inusual,0.015853562215180195,0,3,5.381429088043315,1,-1,13.311779190359184,0.5418999228173016
CLT40169,1588.42,2025-09-13,efectivo,traslado_valores,X_traslado_valores,1,0,1,1,1,0,12,9,5,1,351111.21,6.0,142406.18,65053.22090860029,8e-05,1.3579778549873245,26.41521600069998,0.0285384235956466,1,inusual,-0.013591266722368212,1,3,4.437674028213707,1,-1,12.709173512762044,0.5417460206567614
CLT40493,8405.04,2025-09-24,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,16,9,2,0,548305.31,8.0,145294.08,60514.10324517535,0.0001066666666666,1.370502389918909,21.925197506847816,0.1240936090628283,1,inusual,0.006193312306863263,0,3,4.791733824067239,1,-1,13.076945673365532,0.534586323633863
CLT58200,6805.7,2025-08-16,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,1,1,0,21,8,5,1,721696.3800000001,14.0,140779.07,45734.12340456487,0.00014,1.1424720168028526,17.05440211731116,0.0969597912763114,0,inusual,0.0028118812251767267,0,5,7.686115537475172,1,-1,8.923487817288013,0.5327273717400458
CLT52743,108100.83,2024-12-09,tarjeta,inmobiliaria,V_inmuebles,0,0,0,0,1,0,3,12,0,0,113039.03,2.0,108100.83,72946.99523803877,2e-05,0.6365141682948128,197.2827919510468,2.8021873137667908,1,inusual,0.04303688721645971,0,3,6.334579675436596,1,-1,13.020892348161576,0.5289058545325609
CLT93205,150955.04,2025-08-23,efectivo,automotriz,VIII_vehiculos,1,0,0,1,1,0,14,8,5,0,479773.0,7.0,150955.04,61258.1559177448,9.333333333333332e-05,1.0933747175566466,35.39103899330508,2.7833579741781542,1,inusual,-0.0009350403271465302,1,3,4.330113018640765,1,-1,12.773615027596055,0.5262525686187991
CLT44993,94548.75,2025-01-07,transferencia_internacional,traslado_valores,X_traslado_valores,0,1,1,0,1,0,14,1,1,0,297557.36,4.0,163055.97,69284.86796627048,9.333333333333332e-05,1.3337360272028096,23.85237718626589,1.613390575307436,1,inusual,0.010899158533658415,0,3,4.866248786053855,1,-1,12.764121470324161,0.5255358567089166
CLT95026,2960.73,2024-11-03,transferencia_internacional,traslado_valores,X_traslado_valores,0,1,1,1,1,0,13,11,6,0,107964.53,2.0,105003.8,72155.34677009356,8.666666666666667e-05,1.2658567518727373,29.96614251066855,0.0083418537753656,1,inusual,0.011330985300779362,0,3,5.046042150894778,1,-1,12.55259920571506,0.5255317308435963
CLT77552,47417.15,2025-04-26,transferencia_internacional,automotriz,VIII_vehiculos,0,1,0,1,1,0,22,4,5,0,423762.96,11.0,115224.74,37519.51205836221,0.0001466666666666,1.2231931462406396,14.527969739846816,1.0060509029242946,0,inusual,-0.00020940856495876847,1,5,7.305418620605427,1,-1,8.628013112843936,0.5218643905957039
CLT46942,22837.39,2025-05-18,transferencia_internacional,traslado_valores,X_traslado_valores,0,1,1,1,1,0,11,5,6,0,317063.51,7.0,89704.77,32002.84947257807,7.333333333333333e-05,1.3421131789144003,16.55965646449896,0.1157068302168164,1,inusual,0.01257739671290159,0,3,4.761350473755346,1,-1,12.762707237167053,0.5211674964973151
CLT53932,23171.69,2025-01-01,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,0,1,0,3,1,2,0,154402.15,2.0,131230.46,76409.08903367746,2e-05,1.0986122886681096,215.667568261897,0.4394743332138264,1,inusual,0.055356276713642516,0,3,6.473471906325746,1,-1,13.130533469219717,0.5204018630277619
CLT46497,5440.63,2025-10-05,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,1,1,0,14,10,6,0,671764.15,9.0,168210.83,58044.445231892,9.333333333333332e-05,1.0285137640248474,19.710403344427025,0.0912256817123425,1,inusual,0.018170391100150396,0,3,4.6290016010486035,1,-1,13.010809150860892,0.5162268321523523
CLT69151,5007.71,2025-02-04,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,0,1,0,14,2,1,0,199623.16,3.0,166243.76,87131.74609667038,9.333333333333332e-05,1.2770342594661392,23.23127864953429,0.0232158151614211,1,inusual,0.015138539897532,0,3,4.756530900671091,1,-1,12.602117604884912,0.5153439459485752
CLT39136,118609.04,2025-09-15,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,0,1,0,7,9,0,1,454633.33,6.0,149561.67,58532.90599298704,4.6666666666666665e-05,1.2770342594661392,40.32699674742302,1.7386789986893678,1,inusual,0.00968280078409478,0,3,4.560431903098955,1,-1,12.454963739498819,0.5141835311789275
CLT89817,167748.2,2024-12-27,tarjeta,inmobiliaria,V_inmuebles,0,0,0,0,1,0,17,12,4,0,304875.85,3.0,167748.2,59925.06255509656,0.0001133333333333,1.205697772011519,21.450621591615167,3.0303030367431707,1,inusual,0.021942779293404935,0,3,4.839131018596794,1,-1,12.758315174591852,0.5124866659733941
