cliente_id,monto,fecha,tipo_operacion,sector_actividad,fraccion,EsEfectivo,EsInternacional,SectorAltoRiesgo,fin_de_semana,es_nocturno,es_monto_redondo,frecuencia_mensual,mes,dia_semana,quincena,monto_6m,ops_6m,monto_max_6m,monto_std_6m,ops_relativas,diversidad_operaciones,concentracion_temporal,ratio_vs_promedio,posible_burst,clasificacion_lfpiorpi,anomaly_score_iso,is_outlier_iso,cluster_kmeans,dist_to_cluster_center,is_dbscan_noise,cluster_dbscan,anomaly_score_pca,anomaly_score_composite
CLT39693,4926201.69,2024-11-29,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,0,1,0,6,11,4,0,4981933.57,2.0,4926201.69,3443942.230215356,0.0002,1.2424533248940002,25.715753926338618,5.756050009660502,1,preocupante,-0.08560765255432246,1,7,11.539042473205807,1,-1,19.188081638114724,0.9598904717725116
CLT36486,4414545.61,2024-11-12,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,0,1,0,7,11,1,0,4542518.79,2.0,4414545.61,3031064.433300297,0.0002333333333333,0.9556998911125344,57.15855141621418,6.409759533048507,1,preocupante,-0.07523667355879304,1,7,10.682189564130361,1,-1,18.869260537312552,0.9175615695593825
CLT79339,4262352.31,2024-11-18,efectivo,joyeria_metales,XI_joyeria,1,0,0,0,1,0,4,11,0,0,4334895.569999999,2.0,4262352.31,2962642.3911317666,0.0001333333333333,0.5623351446188083,104.96348571447756,3.819490425627152,1,preocupante,-0.07843932528203168,1,7,9.899409603398535,1,-1,18.23507409192597,0.8880914897556722
CLT98039,4428057.25,2024-12-17,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,0,1,0,13,12,1,1,4559371.15,2.0,4428057.25,3038256.359803203,0.0004333333333333,1.3061066090853948,18.2133816938885,10.775734879181655,0,preocupante,-0.1197866819631106,1,2,9.583686432135101,1,-1,14.241186404350861,0.8613269212890831
CLT85674,4921634.96,2025-10-25,tarjeta,inmobiliaria,V_inmuebles,0,0,0,1,1,0,12,10,5,0,5191810.97,6.0,4921634.96,1987686.1550339877,0.0004,1.039720770839918,40.37528496944184,10.92051494335467,0,preocupante,-0.09994064139606995,1,2,9.216118566828069,1,-1,14.538461708222945,0.832285680979747
CLT15992,4639901.89,2025-05-11,tarjeta,joyeria_metales,XI_joyeria,0,0,0,1,1,0,12,5,6,0,5240073.85,8.0,4639901.89,1611000.4226838076,0.0004,1.308605387253449,31.2997240766229,10.249779367821514,0,preocupante,-0.09831051452035044,1,2,9.268909052794728,1,-1,14.141048125250023,0.8253264182848308
CLT22387,4430432.14,2025-07-28,tarjeta,inmobiliaria,V_inmuebles,0,0,0,0,1,0,12,7,0,0,4705280.29,8.0,4430432.14,1552829.14977749,0.0004,0.9596147939120492,24.280931538218145,10.682924577680591,0,preocupante,-0.08469136383316211,1,2,9.182750567960499,1,-1,13.781463584706746,0.8008894919896297
CLT38574,146252.47,2025-10-13,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,0,1,0,11,10,0,1,3323970.38,7.0,2897773.13,1069852.7496232963,0.0003666666666666,1.294545165844896,25.187298386289868,0.4608956294627999,1,preocupante,-0.08430211658247755,1,7,7.183594397902086,1,-1,17.117973345373134,0.7976191299425481
CLT14910,4128648.8,2025-04-10,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,0,1,0,13,4,3,0,6539780.539999999,9.0,4128648.8,1443592.792718776,0.0004333333333333,1.2658567518727373,17.233687939614086,7.974076260876676,0,preocupante,-0.09968699598579955,1,2,8.792459948377704,1,-1,13.152574588728022,0.7967430016611319
CLT42778,3763043.16,2025-09-28,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,1,1,0,13,9,6,0,8750907.740000002,7.0,4490212.57,1976643.797007596,0.0004333333333333,1.2047933096947845,25.24005954946632,5.404648352387392,0,preocupante,-0.10635601027606378,1,2,8.526182948008374,1,-1,12.88322094620896,0.7923781792905511
CLT36143,4253929.78,2025-01-28,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,0,1,0,11,1,1,0,9361594.75,8.0,4803752.14,2078583.746467898,0.0003666666666666,1.2636544318820966,37.5120721309228,4.929015623864922,0,preocupante,-0.09763662320210498,1,2,8.461972871120867,1,-1,13.082345288805502,0.7835778976613528
CLT64262,65057.52,2025-04-01,transferencia_internacional,automotriz,VIII_vehiculos,0,1,0,0,1,0,11,4,1,0,4635650.529999999,5.0,4493219.85,1993662.314955436,0.0003666666666666,1.0361987848192835,36.12263064125375,0.1423178829727895,1,preocupante,-0.05117397709814453,1,7,7.815947362465185,1,-1,17.367170489195633,0.7812298549696378
CLT82199,4657755.36,2025-03-17,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,0,1,0,11,3,0,1,5161715.12,3.0,4657755.36,2548549.6378818685,0.0003666666666666,1.162225544921092,41.01232876966524,9.210727772686583,0,preocupante,-0.10635832277729396,1,2,7.766581386851765,1,-1,13.27917113801899,0.776879346096571
CLT71069,43518.49,2024-11-18,efectivo,traslado_valores,X_traslado_valores,1,0,1,0,1,0,4,11,0,0,4752197.8,2.0,4708679.31,3298766.851147794,0.0001333333333333,1.039720770839918,19.85782801147531,0.0345835997365873,1,preocupante,-0.03314019125733014,1,7,8.386189193115303,1,-1,17.231193695391173,0.7743739479734274
CLT75191,4018227.31,2025-10-30,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,0,1,0,13,10,3,0,4325545.75,5.0,4018227.31,1763406.705740473,0.0004333333333333,1.3516811946858949,23.546215033933635,11.092945996639582,0,preocupante,-0.06651663088129056,1,2,8.985105618288053,1,-1,13.547909611279238,0.7699557386026376
CLT64702,2841592.55,2025-09-21,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,1,1,0,7,9,6,0,3159283.65,4.0,2841592.55,1368615.8834303196,0.0002333333333333,1.078992207877583,71.8192174839019,5.865306192110554,1,preocupante,-0.04811233479877686,1,7,7.3696017767300805,1,-1,17.332189866926555,0.7640973803048928
CLT32957,512.56,2025-03-31,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,7,3,0,0,4846547.68,3.0,4836428.84,2789396.141002488,0.0002333333333333,1.1537419427010902,58.03935446459296,0.0007186252463016,1,preocupante,-0.03267260697731478,1,7,7.688763889814327,1,-1,17.267467377489844,0.7541746659575299
CLT26150,3173196.72,2025-05-19,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,0,1,0,12,5,0,0,3801343.38,9.0,3173196.72,1032889.7478182974,0.0004,1.308605387253449,26.61988320444291,9.179519816918551,0,preocupante,-0.08348609274126828,1,2,8.626109570741907,1,-1,11.764824689519582,0.7499266089112917
CLT18050,3510361.54,2025-05-28,transferencia_internacional,traslado_valores,X_traslado_valores,0,1,1,0,1,0,10,5,2,0,8813969.57,7.0,4862768.2,2038488.821840993,0.0003333333333333,1.2798542258336676,27.271780286589287,3.919406053148392,0,preocupante,-0.09858357925496086,1,2,7.77958722103743,1,-1,11.902899295008304,0.7453491280862501
CLT64262,4493219.85,2025-03-07,tarjeta,joyeria_metales,XI_joyeria,0,0,0,0,1,0,11,3,4,0,4509106.159999999,2.0,4493219.85,3165952.90776797,0.0003666666666666,1.0361987848192835,36.12263064125375,9.82923321982324,0,preocupante,-0.07473570337148006,1,2,7.86973900418365,1,-1,13.115596886692199,0.7400572130848576
CLT26539,4541387.99,2025-03-16,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,1,1,0,4,3,6,1,9419841.87,3.0,4753853.41,2613526.8742327923,0.0001333333333333,1.039720770839918,40.62429486567531,1.9036467093319984,0,preocupante,-0.087697481999512,1,2,7.8778320589069235,1,-1,12.158530105056165,0.7396588343679172
CLT15210,4831876.29,2025-06-28,efectivo,automotriz,VIII_vehiculos,1,0,0,1,1,0,9,6,5,0,5091000.51,6.0,4831876.29,1951772.8996435087,0.0003,1.3689223607402192,27.44832807814921,8.319825424671068,0,preocupante,-0.09575115435548531,1,2,7.066992935601896,1,-1,12.5786385687593,0.7325205334411165
CLT22499,4528154.39,2025-01-05,transferencia_internacional,traslado_valores,X_traslado_valores,0,1,1,1,1,0,8,1,6,0,4695993.76,2.0,4528154.39,3083208.3187515563,0.0002666666666666,1.2554823251787537,38.58756276314948,6.855262527675826,0,preocupante,-0.10891831989334677,1,2,6.6353259844948,1,-1,11.97077616108069,0.7253749674339616
CLT22989,3302774.72,2025-01-04,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,1,1,0,4,1,5,0,3309576.22,2.0,3302774.72,2330605.014471261,0.0001333333333333,1.039720770839918,44.79211240088296,1.7214003845249497,1,preocupante,-0.017101718523287235,1,7,7.419716398375156,1,-1,16.99007193951117,0.7234974552383431
