cliente_id,monto,fecha,tipo_operacion,sector_actividad,fraccion,EsEfectivo,EsInternacional,SectorAltoRiesgo,fin_de_semana,es_nocturno,es_monto_redondo,frecuencia_mensual,mes,dia_semana,quincena,monto_6m,ops_6m,monto_max_6m,monto_std_6m,ops_relativas,diversidad_operaciones,concentracion_temporal,ratio_vs_promedio,posible_burst,clasificacion_lfpiorpi,anomaly_score_iso,is_outlier_iso,cluster_kmeans,dist_to_cluster_center,is_dbscan_noise,cluster_dbscan,anomaly_score_pca,anomaly_score_composite
CLT67438,23880.09,2024-12-15,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,1,1,0,3,12,6,1,26239.23,2.0,23880.09,15217.60968257663,0.0001,0.6365141682948128,207.88939366884497,0.0609319340894166,1,relevante,0.034085758485189355,0,7,6.260234516325782,1,-1,16.580407806528992,0.6229785591730336
CLT10860,14854.88,2025-02-17,tarjeta,automotriz,VIII_vehiculos,0,0,0,0,1,0,6,2,0,1,116699.77,2.0,101844.89,61511.22596648558,0.0002,0.6365141682948128,29.380265485526163,0.2241049232877596,1,relevante,0.09726600581288553,0,7,3.7982840460247522,1,-1,15.772651941527354,0.4639759452851163
CLT59894,43204.68,2024-11-17,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,1,1,0,3,11,6,1,48232.49,2.0,43204.68,26995.123661477268,0.0001,0.0,242.5376259469858,1.595346720157509,0,relevante,0.04411351267258734,0,0,6.582009078058142,1,-1,5.860373279884129,0.44308460554812634
CLT27875,5767.52,2025-01-29,tarjeta,automotriz,VIII_vehiculos,0,0,0,0,1,0,3,1,2,0,33700.28,2.0,27932.76,15673.191510627308,0.0001,0.6365141682948128,130.10764773832474,0.1012813354233615,1,relevante,0.1232785244130295,0,7,4.008126958376775,1,-1,15.86296404999629,0.4410382235004723
CLT80517,5122.1,2024-12-15,efectivo,joyeria_metales,XI_joyeria,1,0,0,1,1,0,3,12,6,1,93188.82,2.0,88066.72,58650.70326494134,0.0001,1.0986122886681096,211.4249275747777,0.1091232607887783,0,relevante,0.032431756846528215,0,0,5.72268665991401,0,24,6.197145091111043,0.43741646819226576
CLT95403,9318.71,2025-03-28,efectivo,joyeria_metales,XI_joyeria,1,0,0,0,1,0,3,3,4,0,10173.82,2.0,9318.71,5984.668953250463,0.0001,1.0986122886681096,48.08326112068523,0.4643738880102694,1,relevante,0.11702290489434558,0,7,3.5542648170756035,1,-1,15.469853072805382,0.4286925884879029
CLT30257,9895.57,2024-11-17,efectivo,inmobiliaria,V_inmuebles,1,0,0,1,1,0,11,11,6,1,12359.44,2.0,9895.57,5255.005465744065,0.0003666666666666,1.2636544318820966,28.77286530357687,0.1665092915995703,0,relevante,0.023634108522778696,0,3,4.785599548575518,1,-1,5.382857464281253,0.4070500204924927
CLT84720,18207.28,2025-02-16,efectivo,inmobiliaria,V_inmuebles,1,0,0,1,1,0,1,2,6,1,18207.28,1.0,18207.28,0.0,3.3333333333333335e-05,0.0,0.0,1.0,0,relevante,0.029978967303444404,0,4,4.343067034030748,0,59,5.312016568903838,0.3855817041973041
CLT50913,10000.47,2025-02-16,efectivo,inmobiliaria,V_inmuebles,1,0,0,1,1,0,1,2,6,1,10000.47,1.0,10000.47,0.0,3.3333333333333335e-05,0.0,0.0,1.0,0,relevante,0.030225514914391738,0,4,4.3437072357438105,0,59,5.313763032434332,0.38533987951031656
CLT68493,765.0,2024-12-14,efectivo,automotriz,VIII_vehiculos,1,0,0,1,1,0,1,12,5,1,765.0,1.0,765.0,0.0,3.3333333333333335e-05,0.0,0.0,1.0,0,relevante,0.029460364590127686,0,4,4.2779649743793025,0,59,5.160658867408818,0.381794209966545
CLT59894,5027.81,2024-11-09,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,1,1,0,3,11,5,0,5027.81,1.0,5027.81,0.0,0.0001,0.0,242.5376259469858,0.1856535031176049,0,relevante,0.08663904397673716,0,0,6.276711611686179,0,1,5.646860520946141,0.38078076374730835
