cliente_id,monto,fecha,tipo_operacion,sector_actividad,fraccion,EsEfectivo,EsInternacional,SectorAltoRiesgo,fin_de_semana,es_nocturno,es_monto_redondo,frecuencia_mensual,mes,dia_semana,quincena,monto_6m,ops_6m,monto_max_6m,monto_std_6m,ops_relativas,diversidad_operaciones,concentracion_temporal,ratio_vs_promedio,posible_burst,clasificacion_lfpiorpi,anomaly_score_iso,is_outlier_iso,cluster_kmeans,dist_to_cluster_center,is_dbscan_noise,cluster_dbscan,anomaly_score_pca,anomaly_score_composite
CLT17213,46389.47,2024-11-17,tarjeta,joyeria_metales,XI_joyeria,0,0,0,1,1,0,4,11,6,1,185034.26,2.0,138644.79,65234.36237253493,2.6666666666666667e-05,0.5623351446188083,96.17865321022818,0.6989144253954565,1,relevante,0.04821866771488892,0,3,4.771220210370606,1,-1,12.50417842802088,0.4770852235448424
CLT52396,430.98,2024-11-10,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,1,1,0,14,11,6,0,36815.77,2.0,36384.79,25423.182860492707,9.333333333333332e-05,1.2720898688202853,20.25035612222469,0.002528628004025,1,relevante,0.04737978026814349,0,3,4.280031825802503,1,-1,12.42818415493996,0.46508852502449544
CLT96918,46774.18,2024-11-17,tarjeta,joyeria_metales,XI_joyeria,0,0,0,1,1,0,6,11,6,1,142491.76,2.0,95717.58,34608.210034325675,4e-05,0.4505612088663046,65.27480371475659,0.8436497641060998,1,relevante,0.05128722365938054,0,3,4.398239784845017,1,-1,12.393257509473159,0.4628999090018453
CLT55265,6645.15,2024-12-17,efectivo,automotriz,VIII_vehiculos,1,0,0,0,1,0,10,12,1,1,111572.39,2.0,104927.24,69495.93230818657,6.666666666666667e-05,1.0888999753452235,25.72450193881312,0.1464262973313974,1,relevante,0.04176516242592743,0,3,4.055157145285328,1,-1,12.223872184978081,0.4624102714916398
CLT64534,340.02,2025-10-27,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,3,10,0,0,64940.84,2.0,64600.82,45439.247444472494,2e-05,0.6365141682948128,130.8147545195113,0.0109292334118727,1,relevante,0.06630557265550852,0,3,4.93778881976925,1,-1,12.494507594935266,0.4606847972632424
CLT25537,7095.39,2024-11-13,efectivo,automotriz,VIII_vehiculos,1,0,0,0,1,0,6,11,2,1,112204.78,2.0,105109.39,69306.36405121828,4e-05,1.0114042647073518,90.65870063044142,0.1147620930883725,1,relevante,0.04917479582169293,0,3,4.105438835043733,1,-1,12.296340419951079,0.45662741709475485
CLT81659,9243.67,2024-12-17,tarjeta,inmobiliaria,V_inmuebles,0,0,0,0,1,0,4,12,1,1,74830.79,2.0,65587.12,39840.83557044518,2.6666666666666667e-05,0.5623351446188083,109.97423940784194,0.1301257861812293,1,relevante,0.06955620883332725,0,3,4.734454214806012,1,-1,12.482663087042216,0.45205802868390177
CLT34690,44477.4,2024-12-15,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,1,1,0,8,12,6,1,47814.67,2.0,44477.4,29090.46490189612,5.333333333333333e-05,0.9743147528693494,55.75798042390328,1.032420011061792,1,relevante,0.053752470232425686,0,3,4.007629466909816,1,-1,12.34164123397578,0.45002592216080484
CLT15694,31956.62,2024-11-22,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,13,11,4,0,56364.01,2.0,31956.62,5338.1117257369215,8.666666666666667e-05,1.2658567518727373,30.476518531784137,0.5352941885909924,1,relevante,0.046850471005613015,0,3,3.7245817849836484,1,-1,12.157663691275362,0.4477724381373067
CLT87024,48722.9,2025-07-06,efectivo,inmobiliaria,V_inmuebles,1,0,0,1,1,0,5,7,6,0,68294.19,2.0,48722.9,20613.30111350557,3.3333333333333335e-05,1.3321790402101223,34.23813663153998,2.809060086323874,1,relevante,0.057183607323984864,0,3,4.050676132582245,1,-1,12.055993831788484,0.44213736568458967
CLT47272,13359.58,2025-09-12,tarjeta,inmobiliaria,V_inmuebles,0,0,0,0,1,0,4,9,4,0,106075.45,2.0,92715.87,56113.370788806205,2.6666666666666667e-05,1.3862943611198906,158.5780564895408,0.1574943465002235,1,relevante,0.08586199210330225,0,3,4.731667668443795,1,-1,12.493436479324556,0.43401334424973703
CLT28769,1781.94,2025-08-13,tarjeta,inmobiliaria,V_inmuebles,0,0,0,0,1,0,5,8,2,1,4422.610000000001,2.0,2640.67,607.2138062083242,3.3333333333333335e-05,1.3321790402101223,111.8700883465579,0.0449624104619899,1,relevante,0.07277260863227653,0,3,4.176411613298149,1,-1,12.323051059585401,0.43247910040964094
CLT42854,6167.82,2024-11-10,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,1,1,0,4,11,6,0,37908.21,2.0,31740.39,18082.53765936767,2.6666666666666667e-05,0.6931471805599453,124.11419472942382,0.0876976903574762,1,relevante,0.08590056926824619,0,3,4.61729434354717,1,-1,12.44859402616162,0.4304764693616744
CLT84906,8969.95,2024-11-17,efectivo,joyeria_metales,XI_joyeria,1,0,0,1,1,0,3,11,6,1,8969.95,1.0,8969.95,0.0,2e-05,0.6365141682948128,229.1025971044414,0.1524770519624405,0,relevante,0.04450614942813369,0,2,6.796346793443386,1,-1,6.954090808326976,0.43026474296582173
