cliente_id,monto,fecha,tipo_operacion,sector_actividad,frecuencia_mensual,EsEfectivo,EsInternacional,SectorAltoRiesgo,fecha_dt,mes,dia_semana,fin_de_mes,quincena,MontoRelevante,EsEstructurada,fraccion,umbral_aviso_mxn,limite_efectivo_mxn,monto_6m,ops_6m,Acum6mAlcanzaAviso,clasificacion_lfpiorpi
CLT10053,21555.4,2025-03-01,efectivo,inmobiliaria,4,1,0,0,2025-03-01,3,5,0,0,0,0,V_inmuebles,907948.5,907948.5,21555.4,1,0,relevante
CLT10053,44269.2,2025-06-02,transferencia_nacional,inmobiliaria,4,0,0,0,2025-06-02,6,0,0,0,0,0,V_inmuebles,907948.5,907948.5,65824.6,2,0,relevante
CLT10053,87497.27,2025-07-07,transferencia_nacional,notaria,4,0,0,0,2025-07-07,7,0,0,0,0,0,notaria,inf,inf,87497.27,1,0,relevante
CLT10053,149070.36,2025-08-24,efectivo,servicios_financieros,4,1,0,0,2025-08-24,8,6,0,0,0,0,servicios_financieros,inf,inf,149070.36,1,0,relevante
CLT10074,8882.16,2025-06-11,efectivo,casa_cambio,3,1,0,1,2025-06-11,6,2,0,0,0,0,casa_cambio,inf,inf,8882.16,1,0,inusual
CLT10074,1891.67,2025-03-09,tarjeta,notaria,3,0,0,0,2025-03-09,3,6,0,0,0,0,notaria,inf,inf,1891.67,1,0,relevante
CLT10074,7645.53,2025-01-14,transferencia_nacional,servicios_financieros,3,0,0,0,2025-01-14,1,1,0,1,0,0,servicios_financieros,inf,inf,7645.53,1,0,relevante
CLT10150,26474.09,2025-03-19,transferencia_nacional,inmobiliaria,4,0,0,0,2025-03-19,3,2,0,0,0,0,V_inmuebles,907948.5,907948.5,26474.09,1,0,relevante
CLT10150,164103.8,2025-05-19,efectivo,activos_virtuales,4,1,0,1,2025-05-19,5,0,0,0,1,0,XVI_activos_virtuales,23759.4,inf,164103.8,1,0,preocupante
CLT10150,63670.08,2024-11-12,transferencia_nacional,casa_cambio,4,0,0,1,2024-11-12,11,1,0,0,0,0,casa_cambio,inf,inf,63670.08,1,0,inusual
CLT10150,156252.05,2025-07-03,efectivo,transmision_dinero,4,1,0,0,2025-07-03,7,3,0,0,0,0,transmision_dinero,inf,inf,156252.05,1,0,relevante
CLT10221,52571.24,2025-09-03,transferencia_nacional,automotriz,5,0,0,0,2025-09-03,9,2,0,0,0,0,VIII_vehiculos,726358.8,363179.4,52571.24,1,0,relevante
CLT10221,75960.71,2025-03-27,tarjeta,inmobiliaria,5,0,0,0,2025-03-27,3,3,0,0,0,0,V_inmuebles,907948.5,907948.5,75960.71,1,0,relevante
CLT10221,115984.66,2025-03-21,transferencia_nacional,activos_virtuales,5,0,0,1,2025-03-21,3,4,0,0,1,0,XVI_activos_virtuales,23759.4,inf,115984.66,1,0,preocupante
CLT10221,6252.92,2025-03-20,tarjeta,traslado_valores,5,0,0,1,2025-03-20,3,3,0,0,0,0,X_traslado_valores,363179.4,363179.4,6252.92,1,0,inusual
CLT10221,64572.75,2025-04-07,efectivo,arte_antiguedades,5,1,0,0,2025-04-07,4,0,0,0,0,0,arte_antiguedades,inf,inf,64572.75,1,0,relevante
