cliente_id,monto,fecha,tipo_operacion,sector_actividad,frecuencia_mensual,EsEfectivo,EsInternacional,SectorAltoRiesgo,fecha_dt,mes,dia_semana,fin_de_mes,quincena,MontoRelevante,EsEstructurada,fraccion,umbral_aviso_mxn,limite_efectivo_mxn,umbral_aviso_mxn_missing_cfg,limite_efectivo_mxn_missing_cfg,monto_6m,ops_6m,Acum6mAlcanzaAviso,clasificacion_lfpiorpi
CLT10053,81669.41,2025-05-08,efectivo,automotriz,3,1,0,0,2025-05-08,5,3,0,0,0,0,VIII_vehiculos,726358.8,363179.4,0,0,81669.41,1,0,relevante
CLT10053,10594.24,2025-06-02,transferencia_nacional,arte_antiguedades,3,0,0,0,2025-06-02,6,0,0,0,0,0,arte_antiguedades,1000000000000.0,1000000000000.0,1,1,10594.24,1,0,relevante
CLT10053,146055.9,2025-04-13,efectivo,servicios_financieros,3,1,0,0,2025-04-13,4,6,0,1,0,0,servicios_financieros,1000000000000.0,1000000000000.0,1,1,146055.9,1,0,relevante
CLT10074,2528.27,2025-01-12,transferencia_nacional,casa_cambio,3,0,0,1,2025-01-12,1,6,0,0,0,0,casa_cambio,1000000000000.0,1000000000000.0,1,1,2528.27,1,0,inusual
CLT10074,6579.66,2025-03-09,tarjeta,notaria,3,0,0,0,2025-03-09,3,6,0,0,0,0,notaria,1000000000000.0,1000000000000.0,1,1,6579.66,1,0,relevante
CLT10074,641728.32,2025-06-08,transferencia_nacional,transmision_dinero,3,0,0,0,2025-06-08,6,6,0,0,0,0,transmision_dinero,1000000000000.0,1000000000000.0,1,1,641728.32,1,0,relevante
CLT10150,50719.66,2024-11-12,tarjeta,joyeria_metales,4,0,0,0,2024-11-12,11,1,0,0,0,0,XI_joyeria,363179.4,363179.4,0,0,50719.66,1,0,relevante
CLT10150,1915.7,2025-01-20,efectivo,joyeria_metales,4,1,0,0,2025-01-20,1,0,0,0,0,0,XI_joyeria,363179.4,363179.4,0,0,52635.36,2,0,relevante
CLT10150,47946.16,2025-03-19,transferencia_nacional,transmision_dinero,4,0,0,0,2025-03-19,3,2,0,0,0,0,transmision_dinero,1000000000000.0,1000000000000.0,1,1,47946.16,1,0,relevante
CLT10150,138178.25,2025-05-19,efectivo,transmision_dinero,4,1,0,0,2025-05-19,5,0,0,0,0,0,transmision_dinero,1000000000000.0,1000000000000.0,1,1,186124.41,2,0,relevante
CLT10221,50641.07,2025-08-25,efectivo,inmobiliaria,4,1,0,0,2025-08-25,8,0,0,0,0,0,V_inmuebles,907948.5,907948.5,0,0,50641.07,1,0,relevante
CLT10221,874.6,2025-03-21,transferencia_nacional,joyeria_metales,4,0,0,0,2025-03-21,3,4,0,0,0,0,XI_joyeria,363179.4,363179.4,0,0,874.6,1,0,relevante
CLT10221,70225.57,2025-06-09,transferencia_internacional,activos_virtuales,4,0,1,1,2025-06-09,6,0,0,0,1,0,XVI_activos_virtuales,23759.4,1000000000000.0,0,1,70225.57,1,0,preocupante
CLT10221,55661.79,2025-09-03,transferencia_nacional,traslado_valores,4,0,0,1,2025-09-03,9,2,0,0,0,0,X_traslado_valores,363179.4,363179.4,0,0,55661.79,1,0,inusual
CLT10282,61680.22,2024-11-13,efectivo,traslado_valores,5,1,0,1,2024-11-13,11,2,0,1,0,0,X_traslado_valores,363179.4,363179.4,0,0,61680.22,1,0,inusual
CLT10282,2960.79,2025-04-06,tarjeta,arte_antiguedades,5,0,0,0,2025-04-06,4,6,0,0,0,0,arte_antiguedades,1000000000000.0,1000000000000.0,1,1,2960.79,1,0,relevante
CLT10282,1963029.54,2025-01-26,tarjeta,casa_cambio,5,0,0,1,2025-01-26,1,6,0,0,0,0,casa_cambio,1000000000000.0,1000000000000.0,1,1,1963029.54,1,0,inusual
